# x, y, T_numerical, T_analytical
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.010020, 0.000000, 0.000000
0.000000, 0.020040, 0.000000, 0.000000
0.000000, 0.030060, 0.000000, 0.000000
0.000000, 0.040080, 0.000000, 0.000000
0.000000, 0.050100, 0.000000, 0.000000
0.000000, 0.060120, 0.000000, 0.000000
0.000000, 0.070140, 0.000000, 0.000000
0.000000, 0.080160, 0.000000, 0.000000
0.000000, 0.090180, 0.000000, 0.000000
0.000000, 0.100200, 0.000000, 0.000000
0.000000, 0.110220, 0.000000, 0.000000
0.000000, 0.120240, 0.000000, 0.000000
0.000000, 0.130261, 0.000000, 0.000000
0.000000, 0.140281, 0.000000, 0.000000
0.000000, 0.150301, 0.000000, 0.000000
0.000000, 0.160321, 0.000000, 0.000000
0.000000, 0.170341, 0.000000, 0.000000
0.000000, 0.180361, 0.000000, 0.000000
0.000000, 0.190381, 0.000000, 0.000000
0.000000, 0.200401, 0.000000, 0.000000
0.000000, 0.210421, 0.000000, 0.000000
0.000000, 0.220441, 0.000000, 0.000000
0.000000, 0.230461, 0.000000, 0.000000
0.000000, 0.240481, 0.000000, 0.000000
0.000000, 0.250501, 0.000000, 0.000000
0.000000, 0.260521, 0.000000, 0.000000
0.000000, 0.270541, 0.000000, 0.000000
0.000000, 0.280561, 0.000000, 0.000000
0.000000, 0.290581, 0.000000, 0.000000
0.000000, 0.300601, 0.000000, 0.000000
0.000000, 0.310621, 0.000000, 0.000000
0.000000, 0.320641, 0.000000, 0.000000
0.000000, 0.330661, 0.000000, 0.000000
0.000000, 0.340681, 0.000000, 0.000000
0.000000, 0.350701, 0.000000, 0.000000
0.000000, 0.360721, 0.000000, 0.000000
0.000000, 0.370741, 0.000000, 0.000000
0.000000, 0.380762, 0.000000, 0.000000
0.000000, 0.390782, 0.000000, 0.000000
0.000000, 0.400802, 0.000000, 0.000000
0.000000, 0.410822, 0.000000, 0.000000
0.000000, 0.420842, 0.000000, 0.000000
0.000000, 0.430862, 0.000000, 0.000000
0.000000, 0.440882, 0.000000, 0.000000
0.000000, 0.450902, 0.000000, 0.000000
0.000000, 0.460922, 0.000000, 0.000000
0.000000, 0.470942, 0.000000, 0.000000
0.000000, 0.480962, 0.000000, 0.000000
0.000000, 0.490982, 0.000000, 0.000000
0.000000, 0.501002, 0.000000, 0.000000
0.000000, 0.511022, 0.000000, 0.000000
0.000000, 0.521042, 0.000000, 0.000000
0.000000, 0.531062, 0.000000, 0.000000
0.000000, 0.541082, 0.000000, 0.000000
0.000000, 0.551102, 0.000000, 0.000000
0.000000, 0.561122, 0.000000, 0.000000
0.000000, 0.571142, 0.000000, 0.000000
0.000000, 0.581162, 0.000000, 0.000000
0.000000, 0.591182, 0.000000, 0.000000
0.000000, 0.601202, 0.000000, 0.000000
0.000000, 0.611222, 0.000000, 0.000000
0.000000, 0.621242, 0.000000, 0.000000
0.000000, 0.631263, 0.000000, 0.000000
0.000000, 0.641283, 0.000000, 0.000000
0.000000, 0.651303, 0.000000, 0.000000
0.000000, 0.661323, 0.000000, 0.000000
0.000000, 0.671343, 0.000000, 0.000000
0.000000, 0.681363, 0.000000, 0.000000
0.000000, 0.691383, 0.000000, 0.000000
0.000000, 0.701403, 0.000000, 0.000000
0.000000, 0.711423, 0.000000, 0.000000
0.000000, 0.721443, 0.000000, 0.000000
0.000000, 0.731463, 0.000000, 0.000000
0.000000, 0.741483, 0.000000, 0.000000
0.000000, 0.751503, 0.000000, 0.000000
0.000000, 0.761523, 0.000000, 0.000000
0.000000, 0.771543, 0.000000, 0.000000
0.000000, 0.781563, 0.000000, 0.000000
0.000000, 0.791583, 0.000000, 0.000000
0.000000, 0.801603, 0.000000, 0.000000
0.000000, 0.811623, 0.000000, 0.000000
0.000000, 0.821643, 0.000000, 0.000000
