# x, y, T_numerical, T_analytical
0, 0, 0, 0
0, 0.01002, 0, 0
0, 0.0200401, 0, 0
0, 0.0300601, 0, 0
0, 0.0400802, 0, 0
0, 0.0501002, 0, 0
0, 0.0601202, 0, 0
0, 0.0701403, 0, 0
0, 0.0801603, 0, 0
0, 0.0901804, 0, 0
0, 0.1002, 0, 0
0, 0.11022, 0, 0
0, 0.12024, 0, 0
0, 0.130261, 0, 0
0, 0.140281, 0, 0
0, 0.150301, 0, 0
0, 0.160321, 0, 0
0, 0.170341, 0, 0
0, 0.180361, 0, 0
0, 0.190381, 0, 0
0, 0.200401, 0, 0
0, 0.210421, 0, 0
0, 0.220441, 0, 0
0, 0.230461, 0, 0
0, 0.240481, 0, 0
0, 0.250501, 0, 0
0, 0.260521, 0, 0
0, 0.270541, 0, 0
0, 0.280561, 0, 0
0, 0.290581, 0, 0
0, 0.300601, 0, 0
0, 0.310621, 0, 0
0, 0.320641, 0, 0
0, 0.330661, 0, 0
0, 0.340681, 0, 0
0, 0.350701, 0, 0
0, 0.360721, 0, 0
0, 0.370741, 0, 0
0, 0.380762, 0, 0
0, 0.390782, 0, 0
0, 0.400802, 0, 0
0, 0.410822, 0, 0
0, 0.420842, 0, 0
0, 0.430862, 0, 0
0, 0.440882, 0, 0
0, 0.450902, 0, 0
0, 0.460922, 0, 0
0, 0.470942, 0, 0
0, 0.480962, 0, 0
0, 0.490982, 0, 0
0, 0.501002, 0, 0
0, 0.511022, 0, 0
0, 0.521042, 0, 0
0, 0.531062, 0, 0
0, 0.541082, 0, 0
0, 0.551102, 0, 0
0, 0.561122, 0, 0
0, 0.571142, 0, 0
0, 0.581162, 0, 0
0, 0.591182, 0, 0
0, 0.601202, 0, 0
0, 0.611222, 0, 0
0, 0.621242, 0, 0
0, 0.631263, 0, 0
0, 0.641283, 0, 0
0, 0.651303, 0, 0
0, 0.661323, 0, 0
0, 0.671343, 0, 0
0, 0.681363, 0, 0
0, 0.691383, 0, 0
0, 0.701403, 0, 0
0, 0.711423, 0, 0
0, 0.721443, 0, 0
0, 0.731463, 0, 0
0, 0.741483, 0, 0
0, 0.751503, 0, 0
0, 0.761523, 0, 0
0, 0.771543, 0, 0
0, 0.781563, 0, 0
0, 0.791583, 0, 0
0, 0.801603, 0, 0
0, 0.811623, 0, 0
0, 0.821643, 0, 0
0, 0.831663, 0, 0
0, 0.841683, 0, 0
0, 0.851703, 0, 0
0, 0.861723, 0, 0
0, 0.871743, 0, 0
0, 0.881764, 0, 0
0, 0.891784, 0, 0
0, 0.901804, 0, 0
0, 0.911824, 0, 0
0, 0.921844, 0, 0
0, 0.931864, 0, 0
0, 0.941884, 0, 0
0, 0.951904, 0, 0
0, 0.961924, 0, 0
0, 0.971944, 0, 0
0, 0.981964, 0, 0
0, 0.991984, 0, 0
0.01002, 0, 0, 0
0.01002, 0.01002, 0.0897495, 0.0897495
0.01002, 0.0200401, 0.17941, 0.17941
0.01002, 0.0300601, 0.268893, 0.268893
0.01002, 0.0400802, 0.358109, 0.358109
0.01002, 0.0501002, 0.446971, 0.446971
0.01002, 0.0601202, 0.53539, 0.53539
0.01002, 0.0701403, 0.623278, 0.623278
0.01002, 0.0801603, 0.710549, 0.710549
0.01002, 0.0901804, 0.797115, 0.797115
0.01002, 0.1002, 0.882892, 0.882892
0.01002, 0.11022, 0.967794, 0.967794
0.01002, 0.12024, 1.05174, 1.05174
0.01002, 0.130261, 1.13464, 1.13464
0.01002, 0.140281, 1.21641, 1.21641
0.01002, 0.150301, 1.29699, 1.29699
0.01002, 0.160321, 1.37627, 1.37627
0.01002, 0.170341, 1.4542, 1.4542
0.01002, 0.180361, 1.53068, 1.53068
0.01002, 0.190381, 1.60564, 1.60564
0.01002, 0.200401, 1.67902, 1.67902
0.01002, 0.210421, 1.75073, 1.75073
0.01002, 0.220441, 1.8207, 1.8207
0.01002, 0.230461, 1.88887, 1.88887
0.01002, 0.240481, 1.95518, 1.95518
0.01002, 0.250501, 2.01954, 2.01954
0.01002, 0.260521, 2.0819, 2.0819
0.01002, 0.270541, 2.1422, 2.1422
0.01002, 0.280561, 2.20038, 2.20038
0.01002, 0.290581, 2.25637, 2.25637
0.01002, 0.300601, 2.31013, 2.31013
0.01002, 0.310621, 2.3616, 2.36161
0.01002, 0.320641, 2.41074, 2.41074
0.01002, 0.330661, 2.45748, 2.45748
0.01002, 0.340681, 2.50179, 2.50179
0.01002, 0.350701, 2.54362, 2.54362
0.01002, 0.360721, 2.58293, 2.58293
0.01002, 0.370741, 2.61968, 2.61968
0.01002, 0.380762, 2.65383, 2.65383
0.01002, 0.390782, 2.68535, 2.68535
0.01002, 0.400802, 2.71422, 2.71422
0.01002, 0.410822, 2.74039, 2.74039
0.01002, 0.420842, 2.76385, 2.76385
0.01002, 0.430862, 2.78457, 2.78457
0.01002, 0.440882, 2.80253, 2.80253
0.01002, 0.450902, 2.81772, 2.81772
0.01002, 0.460922, 2.83011, 2.83011
0.01002, 0.470942, 2.8397, 2.8397
0.01002, 0.480962, 2.84647, 2.84648
0.01002, 0.490982, 2.85043, 2.85043
0.01002, 0.501002, 2.85156, 2.85156
0.01002, 0.511022, 2.84986, 2.84986
0.01002, 0.521042, 2.84535, 2.84535
0.01002, 0.531062, 2.83801, 2.83801
0.01002, 0.541082, 2.82786, 2.82786
0.01002, 0.551102, 2.8149, 2.8149
0.01002, 0.561122, 2.79916, 2.79916
0.01002, 0.571142, 2.78065, 2.78065
0.01002, 0.581162, 2.75938, 2.75938
0.01002, 0.591182, 2.73537, 2.73537
0.01002, 0.601202, 2.70866, 2.70866
0.01002, 0.611222, 2.67926, 2.67926
0.01002, 0.621242, 2.64721, 2.64721
0.01002, 0.631263, 2.61253, 2.61253
0.01002, 0.641283, 2.57527, 2.57527
0.01002, 0.651303, 2.53545, 2.53545
0.01002, 0.661323, 2.49312, 2.49312
0.01002, 0.671343, 2.44832, 2.44832
0.01002, 0.681363, 2.4011, 2.4011
0.01002, 0.691383, 2.3515, 2.3515
0.01002, 0.701403, 2.29956, 2.29956
0.01002, 0.711423, 2.24535, 2.24535
0.01002, 0.721443, 2.18891, 2.18891
0.01002, 0.731463, 2.13031, 2.13031
0.01002, 0.741483, 2.06959, 2.06959
0.01002, 0.751503, 2.00682, 2.00682
0.01002, 0.761523, 1.94207, 1.94207
0.01002, 0.771543, 1.87539, 1.87539
0.01002, 0.781563, 1.80685, 1.80685
0.01002, 0.791583, 1.73652, 1.73652
0.01002, 0.801603, 1.66447, 1.66447
0.01002, 0.811623, 1.59077, 1.59077
0.01002, 0.821643, 1.5155, 1.5155
0.01002, 0.831663, 1.43872, 1.43872
0.01002, 0.841683, 1.36052, 1.36052
0.01002, 0.851703, 1.28097, 1.28097
0.01002, 0.861723, 1.20015, 1.20015
0.01002, 0.871743, 1.11815, 1.11815
0.01002, 0.881764, 1.03503, 1.03503
0.01002, 0.891784, 0.950888, 0.950888
0.01002, 0.901804, 0.865804, 0.865804
0.01002, 0.911824, 0.779862, 0.779862
0.01002, 0.921844, 0.693148, 0.693148
0.01002, 0.931864, 0.605747, 0.605747
0.01002, 0.941884, 0.517746, 0.517746
0.01002, 0.951904, 0.429231, 0.429231
0.01002, 0.961924, 0.340292, 0.340292
0.01002, 0.971944, 0.251015, 0.251015
0.01002, 0.981964, 0.161489, 0.161489
0.01002, 0.991984, 0.0718039, 0.0718039
0.0200401, 0, 0, 0
0.0200401, 0.01002, 0.17941, 0.17941
0.0200401, 0.0200401, 0.358643, 0.358643
0.0200401, 0.0300601, 0.53752, 0.53752
0.0200401, 0.0400802, 0.715864, 0.715864
0.0200401, 0.0501002, 0.893499, 0.893499
0.0200401, 0.0601202, 1.07025, 1.07025
0.0200401, 0.0701403, 1.24594, 1.24594
0.0200401, 0.0801603, 1.42039, 1.42039
